dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.014133	0.14303	0.22397	0.25349	0.2758	0.21219	0.04825	0.233	0.21596	0.20449	0.20149	0.047367	0.025742	0.024646	0.016007	0.010978	0.017573	0.2758	0.27219	0.13231	-0.13988	0.050837	0.31106	0.40605	0.52509	0.65912	0.75938	0.28125	0.21081	0.50451	0.34916	0.8942	0.022218	0.11882	0.13773	0.14628	0.1132	0.033797	0.1237	0.11823	0.10938	0.10717	0.024508	0.011634	0.0096943	0.0040308	0.0064822	0.0047166	0.21606	0.32458	0.20932	0.26309	0.11322	0.141	0.11192	0.1413	0.13401	-0.086055	0.14004	0.10323	0.13063	0.13771	-0.00071602	0.0070351	-0.025723	-0.062045	-0.057651	0.076223	-0.015931	-0.0031567	0.017388	0.058484	-0.045826	-0.048423	-0.04041	-0.030361	2.0209	1176
0.019132	0.081346	0.10931	0.10155	0.11182	0.082584	0.1242	0.24296	0.23679	0.42644	0.47518	0.27736	0.038991	0.022143	0.028187	0.031505	0.029752	0.47518	0.28284	0.13336	-0.14947	0.064931	0.30782	0.36461	0.42899	0.49497	0.54224	0.39062	0.235	0.60453	0.82625	0.8234	0.0349	0.040947	0.048058	0.046674	0.052394	0.067984	0.13262	0.12558	0.22768	0.25537	0.1471	0.0077592	0.0066179	0.013135	0.014069	0.016525	0.17793	0.28578	0.1533	0.22297	0.0020021	0.065514	-0.10093	-0.024402	-0.082254	0.10341	0.10659	0.14142	0.13296	0.12494	0.14136	-0.089613	0.049247	-0.13757	0.14118	0.087321	-0.062767	0.047109	-0.05908	0.10816	-0.040277	-0.027758	-0.042222	0.0092498	1.744	667.5
0.018148	0.19194	0.14206	0.23791	0.11994	0.14154	0.21938	0.24958	0.20727	0.13842	0.08515	0.1303	0.022377	0.016135	0.012629	0.017637	0.01903	0.24958	0.26139	0.19699	-0.0644	0.046652	0.30389	0.41044	0.54855	0.70837	0.82292	0.17188	0.11118	0.58105	0.96108	0.98812	0.14057	0.11812	0.15326	0.087792	0.1035	0.14307	0.18198	0.14538	0.12306	0.050742	0.070891	0.018965	0.0091202	0.0051866	0.010395	0.0059692	0.23599	0.363	0.32386	0.32264	-0.11835	-0.12381	-0.033642	-0.092237	-0.091915	-0.040805	-0.090918	-0.076279	-0.133	-0.08262	0.048861	-0.14064	-0.081996	-0.057182	-0.11712	-0.049995	0.057247	-0.021022	0.0012116	0.042391	-0.048911	-0.053044	-0.051816	-0.046533	2.0987	667
0.012516	0.067553	0.10979	0.11432	0.16595	0.13919	0.14647	0.16996	0.18466	0.13766	0.10596	0.080128	0.041914	0.011449	0.024916	0.018702	0.010251	0.18466	0.18624	0.12431	-0.061932	0.042939	0.22014	0.30726	0.42387	0.56215	0.65493	0.21875	0.12715	0.77182	0.81013	0.8408	0.035134	0.068036	0.061846	0.089227	0.10012	0.095589	0.094218	0.11008	0.067668	0.072758	0.048359	0.018243	0.00084203	0.010256	0.0057373	0.0055471	0.21988	0.24278	0.22674	0.23495	-0.014443	-0.0085306	0.11696	0.12434	-0.086102	-0.041191	0.08937	0.020816	-0.036954	-0.13267	-0.123	0.11217	0.12367	0.14137	-0.13824	0.095676	0.38094	0.020751	0.17929	0.17504	0.13278	-0.02815	0.029581	0.016409	1.8592	388.5
0.0087233	0.22026	0.12194	0.064422	0.038241	0.02277	0.017468	0.016242	0.016362	0.01639	0.012275	0.024478	0.048503	0.050033	0.018895	0.021662	0.022301	0.22026	0.072091	0.04132	-0.030771	0.023176	0.096373	0.17168	0.2982	0.46736	0.46901	0.40625	0.061904	0.15303	0.18171	0.18513	0.14085	0.057312	0.032623	0.0079791	0.0076182	0.0093482	0.0016809	0.0061898	0.0058311	0.0034518	0.01333	0.012247	0.026574	0.00089474	0.0055548	0.0097526	0.15181	0.23545	0.19442	0.19758	-0.029175	0.13795	0.024123	0.14033	0.068375	0.13007	0.032288	-0.13084	0.090844	0.0035459	0.10924	-0.13998	0.13952	0.049982	-0.012554	-0.12946	0.53038	0.55751	0.60554	0.60386	0.20661	0.22748	0.26809	0.2881	0.84704	254.5
0.020093	0.060961	0.058339	0.091015	0.059323	0.11298	0.17578	0.3006	0.36773	0.32311	0.2271	0.32998	0.082293	0.031359	0.021387	0.022421	0.029411	0.36773	0.30493	0.19108	-0.11385	0.066385	0.3304	0.38793	0.45252	0.51804	0.56395	0.1875	0.15958	0.66351	0.61362	0.70514	0.035822	0.033599	0.048307	0.041236	0.060278	0.098747	0.17421	0.2362	0.17652	0.12545	0.18322	0.056026	0.0091974	0.014805	0.0088781	0.0073802	0.14568	0.31342	0.20988	0.24606	-0.080019	-0.12484	0.14039	-0.072477	0.13381	0.075409	0.04526	-0.031899	0.10559	0.093203	0.087685	-0.082805	0.050836	-0.10491	0.13803	0.091298	0.081054	0.11791	0.11359	0.21187	-0.036067	-0.033004	-0.027293	0.015825	1.91	1583.5
0.013611	0.043545	0.075497	0.14713	0.18644	0.18009	0.10213	0.16754	0.16631	0.13265	0.090475	0.090733	0.035021	0.0077466	0.014117	0.01913	0.018448	0.18644	0.17897	0.063525	-0.11545	0.0414	0.21309	0.30176	0.42211	0.56627	0.65946	0.34375	0.25955	0.9404	1.1419	1.3003	0.0067839	0.051691	0.081104	0.098898	0.10321	0.070241	0.12408	0.11137	0.073733	0.0709	0.059556	0.024956	0.002511	0.0058572	0.0043921	0.0089545	0.25757	0.31584	0.23479	0.27554	0.0073481	-0.065742	0.095539	0.1411	0.055645	-0.067787	-0.096092	-0.055027	-0.059177	-0.13829	-0.044432	-0.12927	0.040197	0.033677	0.13839	0.10428	-0.016051	0.020058	0.044514	0.0392	-0.043613	-0.039218	-0.031348	-0.032619	2.0087	2437.5
0.021552	0.033083	0.048858	0.085157	0.1009	0.17921	0.27982	0.28649	0.38541	0.28395	0.17049	0.19704	0.027123	0.017591	0.023139	0.036128	0.023606	0.38541	0.25252	0.15172	-0.1008	0.07796	0.26497	0.29185	0.31981	0.34553	0.35678	0.3125	0.10746	0.68663	0.56042	0.6113	0.017006	0.0075173	0.026957	0.02902	0.070195	0.12556	0.16876	0.24055	0.15971	0.070007	0.11092	0.016135	0.011536	0.0061164	0.016038	0.0059959	0.14018	0.30217	0.21606	0.23768	-0.11899	0.13261	0.13816	0.13894	0.13389	0.1414	0.030815	-0.053407	0.074187	0.046132	-0.045102	0.022604	-0.14078	0.13989	-0.11765	-0.012513	0.15748	0.15438	0.16613	0.24235	-0.022502	-0.032411	-0.025252	0.015686	1.8396	458
0.016745	0.071343	0.052221	0.031739	0.10143	0.17548	0.3627	0.43906	0.37116	0.20868	0.10062	0.12584	0.023548	0.030572	0.019215	0.017614	0.02834	0.43906	0.26011	0.12675	-0.13336	0.053348	0.29441	0.37702	0.4786	0.5911	0.6763	0.29688	0.18418	0.67325	0.65148	0.61744	0.040319	0.026798	0.0076897	0.053969	0.095434	0.19437	0.23285	0.19684	0.1181	0.055703	0.041756	0.0084525	0.0098857	0.010558	0.0094605	0.0054161	0.1587	0.322	0.16197	0.2347	0.14089	-0.0688	-0.045275	0.13725	0.1108	0.12837	0.14141	0.14141	0.067923	0.090862	0.14062	-0.09817	0.14142	0.099123	-0.13813	-0.053021	0.10478	0.1992	0.19741	0.30438	-0.039286	-0.01738	-0.011126	0.061695	1.6761	535
0.012117	0.080214	0.057725	0.080871	0.032103	0.064092	0.041904	0.079124	0.1854	0.29173	0.29048	0.15955	0.0132	0.015006	0.014175	0.0076519	0.017615	0.29173	0.1856	0.094758	-0.09084	0.042195	0.22014	0.3094	0.42967	0.573	0.66752	0.21875	0.20451	0.71222	0.66261	0.74138	0.04306	0.031636	0.024334	0.01923	0.034365	0.0224	0.033933	0.099417	0.15678	0.15741	0.084643	0.004891	0.0085933	0.0058521	0.0044153	0.00662	0.2315	0.29587	0.23742	0.26025	0.12629	0.10203	-0.020965	0.016961	0.12773	0.13147	-0.1055	0.12764	0.12495	0.11503	0.14096	-0.075898	0.056412	-0.095699	0.049237	0.033707	0.29999	0.16087	0.26436	0.23954	0.06839	-0.018239	0.037852	0.020445	1.7477	623
